Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),1.5763527337006802,350.0,6.098429094451014e-05,0.00036590574566706084
Microglia (IBA1),Oligodendrocytes (OLIG2),-1.5633099276659885,36.0,0.0003129314475614112,0.0009387943426842336
Neurons (NEUN),Astrocytes (GFAP),1.2309038632615081,272.0,0.004245776739658135,0.00849155347931627
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-1.2178610572268165,47.0,0.011182779707457532,0.0167741695611863
Microglia (IBA1),Astrocytes (GFAP),-0.345448870439172,172.0,0.4872711155344147,0.5847253386412976
Neurons (NEUN),Oligodendrocytes (OLIG2),0.013042806034691656,120.0,0.6932477987368102,0.6932477987368102
