Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),-0.24969132397329796,177.5,0.3830728199128347,0.8265269173261518
Neurons (NEUN),Oligodendrocytes (OLIG2),-0.3238382412648022,86.0,0.31349630010628415,0.8265269173261518
Microglia (IBA1),Astrocytes (GFAP),0.2336050014953136,210.0,0.5391938641454476,0.8265269173261518
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.30775191878681785,86.0,0.5510179448841012,0.8265269173261518
Neurons (NEUN),Astrocytes (GFAP),-0.01608632247798436,182.0,0.9626138393146747,0.9626138393146747
Microglia (IBA1),Oligodendrocytes (OLIG2),-0.07414691729150424,111.0,0.8695119333337491,0.9626138393146747
