Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Oligodendrocytes (OLIG2),2.515785296333545,214.0,1.8906362451205918e-05,0.00011343817470723552
Neurons (NEUN),Microglia (IBA1),1.8790658270643879,352.0,0.00021207268249391595,0.0006362180474817479
Neurons (NEUN),Astrocytes (GFAP),2.289279259180062,284.0,0.0021917303866347757,0.004383460773269551
Microglia (IBA1),Oligodendrocytes (OLIG2),0.636719469269157,139.0,0.3485279141861266,0.5227918712791899
Microglia (IBA1),Astrocytes (GFAP),0.41021343211567396,209.0,0.5591667076918931,0.6710000492302718
Astrocytes (GFAP),Oligodendrocytes (OLIG2),0.22650603715348305,99.0,1.0,1.0
