Test group,Reference group,Stat,Pvalue,Padj
Microglia (IBA1),Oligodendrocytes (OLIG2),4.0,7.742745331488264e-06,4.6456471988929586e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),18.0,0.00015351009743849457,0.00046053029231548373
Microglia (IBA1),Astrocytes (GFAP),115.0,0.030631646399235216,0.06126329279847043
Astrocytes (GFAP),Oligodendrocytes (OLIG2),56.0,0.05441166176371672,0.0816174926455751
Neurons (NEUN),Microglia (IBA1),254.0,0.24470945013470558,0.27175128041016494
Neurons (NEUN),Astrocytes (GFAP),142.5,0.27175128041016494,0.27175128041016494
