Test group,Reference group,Stat,Pvalue,Padj
Astrocytes (GFAP),Oligodendrocytes (OLIG2),60.0,0.06629775205377192,0.3977865123226315
Neurons (NEUN),Oligodendrocytes (OLIG2),76.0,0.15422291652618023,0.4626687495785407
Microglia (IBA1),Oligodendrocytes (OLIG2),92.0,0.35409934353413175,0.5311490153011976
Microglia (IBA1),Astrocytes (GFAP),225.0,0.2823414475566539,0.5311490153011976
Neurons (NEUN),Microglia (IBA1),192.0,0.6333543565967288,0.6333543565967288
Neurons (NEUN),Astrocytes (GFAP),199.0,0.5469371116343689,0.6333543565967288
