Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),170.0,0.2982210386972597,0.8006619652757999
Neurons (NEUN),Astrocytes (GFAP),141.5,0.2622424209592553,0.8006619652757999
Neurons (NEUN),Oligodendrocytes (OLIG2),96.0,0.5751137512266654,0.8006619652757999
Microglia (IBA1),Oligodendrocytes (OLIG2),127.0,0.6600568057142125,0.8006619652757999
Astrocytes (GFAP),Oligodendrocytes (OLIG2),109.0,0.6672183043965,0.8006619652757999
Microglia (IBA1),Astrocytes (GFAP),185.0,0.9205683699968907,0.9205683699968907
