Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Oligodendrocytes (OLIG2),0.6118540949639164,158.0,0.049868326008003325,0.29920995604802
Microglia (IBA1),Oligodendrocytes (OLIG2),0.34234126852944247,156.0,0.1124708276586072,0.33741248297582166
Neurons (NEUN),Astrocytes (GFAP),0.5395852492222954,226.0,0.18335494841436295,0.3667098968287259
Astrocytes (GFAP),Oligodendrocytes (OLIG2),0.07226884574162096,120.0,0.3567790181980205,0.5351685272970308
Microglia (IBA1),Astrocytes (GFAP),0.2700724227878215,214.0,0.4898428025237852,0.5878113630285422
Neurons (NEUN),Microglia (IBA1),0.26951282643447394,230.0,0.610970831927739,0.610970831927739
