Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Astrocytes (GFAP),49.5,0.00012537783834459858,0.0007522670300675915
Astrocytes (GFAP),Oligodendrocytes (OLIG2),159.0,0.007458571358805261,0.022375714076415785
Microglia (IBA1),Astrocytes (GFAP),102.5,0.015220969628987798,0.030441939257975597
Neurons (NEUN),Microglia (IBA1),133.5,0.04310163874401065,0.06465245811601598
Neurons (NEUN),Oligodendrocytes (OLIG2),67.0,0.07266658247414072,0.08719989896896886
Microglia (IBA1),Oligodendrocytes (OLIG2),123.0,0.7801157180992947,0.7801157180992947
