Test group,Reference group,Stat,Pvalue,Padj
Microglia (IBA1),Astrocytes (GFAP),238.0,0.14189693853001953,0.31878618585756757
Neurons (NEUN),Oligodendrocytes (OLIG2),75.0,0.14742933872442357,0.31878618585756757
Astrocytes (GFAP),Oligodendrocytes (OLIG2),69.0,0.15939309292878379,0.31878618585756757
Neurons (NEUN),Astrocytes (GFAP),205.0,0.4384207682557075,0.526104921906849
Neurons (NEUN),Microglia (IBA1),175.0,0.3535499775385459,0.526104921906849
Microglia (IBA1),Oligodendrocytes (OLIG2),104.0,0.6576292739565364,0.6576292739565364
