Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),2.476721174963302,382.0,1.5313496065753266e-06,9.18809763945196e-06
Neurons (NEUN),Oligodendrocytes (OLIG2),1.4926722241053114,186.0,0.0017194163565250446,0.005158249069575134
Microglia (IBA1),Oligodendrocytes (OLIG2),-0.9840489508579904,57.0,0.005108621685745877,0.010217243371491753
Neurons (NEUN),Astrocytes (GFAP),1.6697065916390672,264.0,0.011750191385809084,0.01762528707871363
Microglia (IBA1),Astrocytes (GFAP),-0.8070145833242347,146.0,0.10485259338009129,0.12582311205610955
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.17703436753375573,84.0,0.47505245080236136,0.47505245080236136
