Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Microglia (IBA1),Oligodendrocytes (OLIG2),-1.0447715539151372,69.5,0.06677439559083756,0.40064637354502536
Neurons (NEUN),Microglia (IBA1),0.4299517675352752,251.0,0.2787779577909143,0.4345427259798787
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.7621645527469769,70.5,0.20346870917823678,0.4345427259798787
Neurons (NEUN),Oligodendrocytes (OLIG2),-0.6148197863798621,84.0,0.28969515065325246,0.4345427259798787
Microglia (IBA1),Astrocytes (GFAP),-0.2826070011681604,167.5,0.5398221071480502,0.6477865285776603
Neurons (NEUN),Astrocytes (GFAP),0.1473447663671148,188.0,0.822939383179621,0.822939383179621
