Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),382.5,1.8333068101073208e-06,1.0999840860643925e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),181.5,0.003264018301583111,0.006528036603166222
Microglia (IBA1),Oligodendrocytes (OLIG2),48.5,0.0024129921881382976,0.006528036603166222
Neurons (NEUN),Astrocytes (GFAP),258.0,0.019360655480862552,0.02904098322129383
Microglia (IBA1),Astrocytes (GFAP),150.0,0.15760763174042924,0.18912915808851508
Astrocytes (GFAP),Oligodendrocytes (OLIG2),80.0,0.3704840216025309,0.3704840216025309
