Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),403.0,3.3549295602796365e-07,2.012957736167782e-06
Neurons (NEUN),Astrocytes (GFAP),297.5,0.00055680107327376,0.001126235129559324
Neurons (NEUN),Oligodendrocytes (OLIG2),194.0,0.000563117564779662,0.001126235129559324
Microglia (IBA1),Oligodendrocytes (OLIG2),51.0,0.007995452017463944,0.011993178026195915
Astrocytes (GFAP),Oligodendrocytes (OLIG2),72.0,0.2206766236272787,0.2648119483527344
Microglia (IBA1),Astrocytes (GFAP),153.0,0.27636327391939053,0.27636327391939053
