Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Astrocytes (GFAP),-1.7972741087182071,96.0,0.01272903864097437,0.05248395627767274
Astrocytes (GFAP),Oligodendrocytes (OLIG2),2.0505953505309935,152.0,0.01749465209255758,0.05248395627767274
Microglia (IBA1),Astrocytes (GFAP),-1.350024170626153,119.5,0.049949821841768015,0.09989964368353603
Microglia (IBA1),Oligodendrocytes (OLIG2),0.7005711799048405,142.0,0.29689715779338155,0.4453457366900723
Neurons (NEUN),Microglia (IBA1),-0.44724993809205416,186.0,0.529711002214484,0.6356532026573808
Neurons (NEUN),Oligodendrocytes (OLIG2),0.25332124181278637,117.5,0.7659216875506514,0.7659216875506514
