Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),116.0,0.014741444274942662,0.07001860372476174
Microglia (IBA1),Astrocytes (GFAP),270.0,0.023339534574920575,0.07001860372476174
Microglia (IBA1),Oligodendrocytes (OLIG2),164.0,0.05685198753559954,0.11370397507119907
Neurons (NEUN),Astrocytes (GFAP),161.0,0.5886092908601628,0.8397135013018749
Neurons (NEUN),Oligodendrocytes (OLIG2),103.0,0.7884222892526951,0.8397135013018749
Astrocytes (GFAP),Oligodendrocytes (OLIG2),104.0,0.8397135013018749,0.8397135013018749
