Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),4.469929963325304,420.0,4.650395086620351e-08,2.7902370519722105e-07
Neurons (NEUN),Astrocytes (GFAP),2.706569846119031,358.0,2.1113148843744395e-07,6.333944653123319e-07
Neurons (NEUN),Oligodendrocytes (OLIG2),2.008057451442385,212.0,2.7828726134989836e-05,5.565745226997967e-05
Microglia (IBA1),Oligodendrocytes (OLIG2),-2.461872511882919,24.0,0.00030559058872470457,0.0004583858830870569
Microglia (IBA1),Astrocytes (GFAP),-1.7633601172062727,71.0,0.0009323349506159951,0.0011188019407391942
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.698512394676646,62.0,0.10089023838439064,0.10089023838439064
