Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),31.5,2.9205681121114712e-06,1.7523408672668827e-05
Microglia (IBA1),Astrocytes (GFAP),330.0,6.822352837941726e-05,0.00013644705675883452
Microglia (IBA1),Oligodendrocytes (OLIG2),217.0,5.953686175662574e-05,0.00013644705675883452
Neurons (NEUN),Astrocytes (GFAP),151.0,0.38261149691694585,0.5739172453754188
Neurons (NEUN),Oligodendrocytes (OLIG2),95.0,0.5340052077879108,0.640806249345493
Astrocytes (GFAP),Oligodendrocytes (OLIG2),107.0,0.7266091165905393,0.7266091165905393
