Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Astrocytes (GFAP),260.0,0.015699951883064188,0.09419971129838513
Microglia (IBA1),Astrocytes (GFAP),241.0,0.11430664271361538,0.22861328542723075
Astrocytes (GFAP),Oligodendrocytes (OLIG2),65.0,0.1100627828738518,0.22861328542723075
Neurons (NEUN),Oligodendrocytes (OLIG2),141.0,0.20633995248701598,0.30950992873052396
Neurons (NEUN),Microglia (IBA1),237.0,0.48243037184540816,0.5789164462144898
Microglia (IBA1),Oligodendrocytes (OLIG2),119.0,0.9032927984992278,0.9032927984992278
