Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),1.856089132659801,359.0,4.482084472889637e-05,0.00026892506837337824
Neurons (NEUN),Astrocytes (GFAP),1.503267331175977,289.0,0.001060673453615181,0.0031820203608455434
Neurons (NEUN),Oligodendrocytes (OLIG2),1.0280203210467196,178.0,0.00506797651821509,0.01013595303643018
Microglia (IBA1),Oligodendrocytes (OLIG2),-0.8280688116130814,64.5,0.02714547430512533,0.040718211457687996
Microglia (IBA1),Astrocytes (GFAP),-0.352821801483824,162.5,0.38265898341430515,0.38265898341430515
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.47524701012925746,78.5,0.3400954245835839,0.38265898341430515
