Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Astrocytes (GFAP),-2.7996399276964476,66.0,0.0009059866625943548,0.00543591997556613
Astrocytes (GFAP),Oligodendrocytes (OLIG2),2.8498199610112223,164.5,0.003479114896656637,0.010437344689969912
Microglia (IBA1),Astrocytes (GFAP),-1.9914532598820935,99.5,0.01216168468769368,0.02432336937538736
Microglia (IBA1),Oligodendrocytes (OLIG2),0.8583667011291287,144.5,0.2581102027344313,0.38716530410164696
Neurons (NEUN),Microglia (IBA1),-0.8081866678143541,173.0,0.34110004052842136,0.4093200486341056
Neurons (NEUN),Oligodendrocytes (OLIG2),0.05018003331477461,118.0,0.756830126553702,0.756830126553702
