Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),403.0,4.482411806256924e-07,2.6894470837541548e-06
Neurons (NEUN),Astrocytes (GFAP),336.0,5.243187296765912e-06,1.572956189029774e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),196.0,0.00041561453144404526,0.0008312290628880905
Microglia (IBA1),Oligodendrocytes (OLIG2),44.0,0.004392670588361343,0.0065890058825420145
Astrocytes (GFAP),Oligodendrocytes (OLIG2),60.0,0.08221897090287573,0.09866276508345087
Microglia (IBA1),Astrocytes (GFAP),159.0,0.3921792989490781,0.3921792989490781
