Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),396.5,5.684156168975419e-07,3.4104937013852515e-06
Microglia (IBA1),Oligodendrocytes (OLIG2),25.0,0.00016355840730309973,0.0004906752219092992
Neurons (NEUN),Astrocytes (GFAP),297.0,0.0006069444361410964,0.0012138888722821929
Neurons (NEUN),Oligodendrocytes (OLIG2),187.0,0.001586432753544007,0.0023796491303160108
Microglia (IBA1),Astrocytes (GFAP),116.0,0.021992295805049255,0.026390754966059103
Astrocytes (GFAP),Oligodendrocytes (OLIG2),86.0,0.5702135247968472,0.5702135247968472
