Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),-3.4752247368173803,1.0,4.9970626498303505e-08,2.9982375898982107e-07
Neurons (NEUN),Oligodendrocytes (OLIG2),-2.8041000165289733,0.0,5.452686566230114e-06,1.6358059698690346e-05
Neurons (NEUN),Astrocytes (GFAP),-2.2779566590884306,37.0,2.7450261842711226e-05,5.490052368542245e-05
Microglia (IBA1),Oligodendrocytes (OLIG2),0.671124720288407,200.0,0.000859821849574039,0.0012897327743610586
Microglia (IBA1),Astrocytes (GFAP),1.1972680777289497,294.0,0.00323892204243862,0.0038867064509263438
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.5261433574405427,84.0,0.5145258076567345,0.5145258076567345
