Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Microglia (IBA1),Astrocytes (GFAP),-0.9840728402817707,49.0,8.467668720518149e-05,0.0003024693664984818
Microglia (IBA1),Oligodendrocytes (OLIG2),-1.1146151389103007,17.0,0.0001008231221661606,0.0003024693664984818
Neurons (NEUN),Astrocytes (GFAP),-0.6071785377293946,80.5,0.0037982360710941414,0.007596472142188283
Neurons (NEUN),Oligodendrocytes (OLIG2),-0.7377208363579246,43.0,0.006041354024020507,0.00906203103603076
Neurons (NEUN),Microglia (IBA1),0.3768943025523761,301.0,0.01823385444362661,0.021880625332351928
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.13054229862853006,98.0,0.9820703872008743,0.9820703872008743
