Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),356.0,2.8972183527907186e-05,0.00017383310116744313
Microglia (IBA1),Oligodendrocytes (OLIG2),41.0,0.0005291001859073411,0.0015873005577220233
Neurons (NEUN),Astrocytes (GFAP),278.5,0.002443909334321702,0.004887818668643404
Astrocytes (GFAP),Oligodendrocytes (OLIG2),59.5,0.054709789514090806,0.08206468427113621
Microglia (IBA1),Astrocytes (GFAP),157.0,0.20855879909109498,0.250270558909314
Neurons (NEUN),Oligodendrocytes (OLIG2),137.5,0.2608914470263062,0.2608914470263062
