Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),383.0,1.3305843662580988e-06,7.983506197548594e-06
Neurons (NEUN),Astrocytes (GFAP),322.0,9.790093835693528e-06,2.9370281507080584e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),174.0,0.007955065878941747,0.015910131757883493
Microglia (IBA1),Oligodendrocytes (OLIG2),76.0,0.0418996706246727,0.0539154211024576
Astrocytes (GFAP),Oligodendrocytes (OLIG2),65.0,0.044929517585381336,0.0539154211024576
Microglia (IBA1),Astrocytes (GFAP),192.0,0.9035143492445908,0.9035143492445908
