Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),362.0,7.768656310808012e-05,0.0004661193786484807
Microglia (IBA1),Astrocytes (GFAP),63.0,0.00040690879983502253,0.0012207263995050676
Neurons (NEUN),Oligodendrocytes (OLIG2),162.5,0.03178565608771165,0.0635713121754233
Astrocytes (GFAP),Oligodendrocytes (OLIG2),141.5,0.05902700557231548,0.08854050835847323
Microglia (IBA1),Oligodendrocytes (OLIG2),74.0,0.10379760285468922,0.12455712342562707
Neurons (NEUN),Astrocytes (GFAP),179.5,1.0,1.0
