Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),1.2695787987960063,403.0,5.145936544650308e-07,3.087561926790185e-06
Neurons (NEUN),Astrocytes (GFAP),1.141541939882888,336.0,5.465321420797962e-06,1.639596426239389e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),0.7039946998139524,190.0,0.0010298290629904426,0.0020596581259808852
Microglia (IBA1),Oligodendrocytes (OLIG2),-0.565584098982054,40.0,0.002923220964622095,0.004384831446933143
Microglia (IBA1),Astrocytes (GFAP),-0.12803685891311822,118.0,0.047020833768473345,0.05642500052216801
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.43754724006893575,73.0,0.25173732588657827,0.25173732588657827
