Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Astrocytes (GFAP),346.0,1.3086433364489697e-06,7.85186001869382e-06
Neurons (NEUN),Oligodendrocytes (OLIG2),207.0,6.773274595142256e-05,0.0002031982378542677
Microglia (IBA1),Astrocytes (GFAP),309.0,0.0007611999438819025,0.001522399887763805
Neurons (NEUN),Microglia (IBA1),313.0,0.007508493064881971,0.011262739597322957
Microglia (IBA1),Oligodendrocytes (OLIG2),173.0,0.0237264038029597,0.028471684563551636
Astrocytes (GFAP),Oligodendrocytes (OLIG2),83.0,0.486007339888778,0.486007339888778
