Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),-2.3202867908847873,50.0,2.2445552065129322e-06,1.3467331239077594e-05
Microglia (IBA1),Astrocytes (GFAP),1.765019742885217,293.5,0.0016354252217125117,0.004906275665137535
Microglia (IBA1),Oligodendrocytes (OLIG2),1.6940646810120845,187.5,0.0035655338158412674,0.007131067631682535
Neurons (NEUN),Oligodendrocytes (OLIG2),-0.6262221098727024,70.0,0.005129359452944117,0.007694039179416176
Neurons (NEUN),Astrocytes (GFAP),-0.5552670479995702,150.0,0.06517626564193069,0.07821151877031682
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.07095506187313229,85.5,0.4364620517317974,0.4364620517317974
