Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),417.0,4.916384392311125e-08,2.9498306353866754e-07
Neurons (NEUN),Astrocytes (GFAP),320.0,4.1819080688900705e-05,0.00012545724206670212
Microglia (IBA1),Oligodendrocytes (OLIG2),19.0,9.122134726604508e-05,0.00018244269453209015
Neurons (NEUN),Oligodendrocytes (OLIG2),193.0,0.0006589643224126447,0.0009884464836189672
Astrocytes (GFAP),Oligodendrocytes (OLIG2),59.0,0.07280533200961231,0.08736639841153478
Microglia (IBA1),Astrocytes (GFAP),137.0,0.118850916858123,0.118850916858123
