Test group,Reference group,Stat,Pvalue,Padj
Microglia (IBA1),Oligodendrocytes (OLIG2),211.0,0.00016375974460279945,0.0009825584676167968
Neurons (NEUN),Microglia (IBA1),73.0,0.0003705772147145863,0.001111731644143759
Microglia (IBA1),Astrocytes (GFAP),296.0,0.002695814935197057,0.005391629870394114
Neurons (NEUN),Oligodendrocytes (OLIG2),166.5,0.02076352431378606,0.031145286470679094
Neurons (NEUN),Astrocytes (GFAP),216.0,0.2992331888522195,0.3590798266226634
Astrocytes (GFAP),Oligodendrocytes (OLIG2),117.0,0.4313086401061951,0.4313086401061951
