Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Oligodendrocytes (OLIG2),20.0,0.00020228357144988783,0.001213701428699327
Microglia (IBA1),Oligodendrocytes (OLIG2),49.5,0.009129868009951008,0.027389604029853024
Neurons (NEUN),Microglia (IBA1),128.0,0.031845007179093957,0.06369001435818791
Neurons (NEUN),Astrocytes (GFAP),124.0,0.09774846446437906,0.1466226966965686
Astrocytes (GFAP),Oligodendrocytes (OLIG2),64.5,0.122529040446332,0.1470348485355984
Microglia (IBA1),Astrocytes (GFAP),171.5,0.6269624095383393,0.6269624095383393
