Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),0.8353779354586481,285.0,0.04633689652017492,0.27223370489385873
Microglia (IBA1),Oligodendrocytes (OLIG2),-0.8102590696862499,73.5,0.09074456829795291,0.27223370489385873
Microglia (IBA1),Astrocytes (GFAP),-0.4710439684884882,153.0,0.28763480062223123,0.5752696012444625
Neurons (NEUN),Astrocytes (GFAP),0.36433396697015996,189.0,0.8006686693846955,0.8523166688253563
Neurons (NEUN),Oligodendrocytes (OLIG2),0.02511886577239819,115.0,0.8523166688253563,0.8523166688253563
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.33921510119776177,94.0,0.8373244960440841,0.8523166688253563
