Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),-3.323156520704793,21.0,1.2666539714484545e-07,7.599923828690728e-07
Microglia (IBA1),Astrocytes (GFAP),3.0266183892267193,353.0,1.2341980022905036e-06,3.702594006871511e-06
Microglia (IBA1),Oligodendrocytes (OLIG2),2.9451124868538128,217.0,4.7159095001269994e-05,9.431819000253999e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),-0.3780440338509802,84.0,0.07079075199621943,0.10618612799432914
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.08150590237290656,86.0,0.3934795062980131,0.47217540755761567
Neurons (NEUN),Astrocytes (GFAP),-0.2965381314780736,168.0,0.4722235813350738,0.4722235813350738
