Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Astrocytes (GFAP),67.0,0.0010055560831511191,0.0045930488274359095
Astrocytes (GFAP),Oligodendrocytes (OLIG2),170.0,0.0015310162758119697,0.0045930488274359095
Microglia (IBA1),Astrocytes (GFAP),104.0,0.017288324951065873,0.034576649902131745
Microglia (IBA1),Oligodendrocytes (OLIG2),152.0,0.15319537735144906,0.2297930660271736
Neurons (NEUN),Microglia (IBA1),168.0,0.2790730065000827,0.33488760780009924
Neurons (NEUN),Oligodendrocytes (OLIG2),113.0,0.9177920550751937,0.9177920550751937
