Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),3.5353269271430756,418.0,6.231754967100323e-08,3.739052980260194e-07
Microglia (IBA1),Astrocytes (GFAP),-2.879311843386076,17.0,1.3553194055057123e-06,4.065958216517137e-06
Microglia (IBA1),Oligodendrocytes (OLIG2),-2.2071081670575285,19.0,0.00013958973185187464,0.0002791794637037493
Neurons (NEUN),Oligodendrocytes (OLIG2),1.328218760085547,195.0,0.00048541381858609596,0.000728120727879144
Astrocytes (GFAP),Oligodendrocytes (OLIG2),0.6722036763285475,140.0,0.06870729999982267,0.0824487599997872
Neurons (NEUN),Astrocytes (GFAP),0.6560150837569996,238.0,0.09275750121614598,0.09275750121614598
