Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Astrocytes (GFAP),-3.0433801364625186,60.0,0.00047652868700868566,0.002859172122052114
Microglia (IBA1),Astrocytes (GFAP),-2.2049606879294092,89.0,0.005061476649336635,0.01012295329867327
Astrocytes (GFAP),Oligodendrocytes (OLIG2),2.8416244318615576,164.0,0.0037428396869158705,0.01012295329867327
Neurons (NEUN),Microglia (IBA1),-0.8384194485331093,183.0,0.48945638722977547,0.6306583621304075
Microglia (IBA1),Oligodendrocytes (OLIG2),0.6366637439321483,132.0,0.5255486351086729,0.6306583621304075
Neurons (NEUN),Oligodendrocytes (OLIG2),-0.20175570460096104,109.0,0.983530382409258,0.983530382409258
