Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),1.4828061125514933,330.0,0.0005942905007752711,0.003565743004651627
Neurons (NEUN),Astrocytes (GFAP),1.0371658122901282,257.0,0.018010017846543734,0.03602003569308747
Microglia (IBA1),Oligodendrocytes (OLIG2),-0.8046592395277177,64.0,0.01692023735343119,0.03602003569308747
Neurons (NEUN),Oligodendrocytes (OLIG2),0.6781468730237756,151.0,0.08901542055662773,0.1335231308349416
Microglia (IBA1),Astrocytes (GFAP),-0.44564030026136525,156.0,0.23289667274674053,0.2677022506198772
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.3590189392663524,76.0,0.2677022506198772,0.2677022506198772
