Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Astrocytes (GFAP),281.5,0.0014015476920762604,0.008409286152457562
Neurons (NEUN),Oligodendrocytes (OLIG2),169.0,0.014485337765693437,0.041144182895817796
Microglia (IBA1),Astrocytes (GFAP),261.5,0.020572091447908898,0.041144182895817796
Astrocytes (GFAP),Oligodendrocytes (OLIG2),63.0,0.05990798495680108,0.08986197743520162
Neurons (NEUN),Microglia (IBA1),252.5,0.26364344656877203,0.31637213588252644
Microglia (IBA1),Oligodendrocytes (OLIG2),138.0,0.36624384567302226,0.36624384567302226
