Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),3.4218786660587974,420.0,3.715206524245466e-08,2.22912391454728e-07
Neurons (NEUN),Astrocytes (GFAP),2.620950705338257,332.0,8.60146014022528e-06,2.1954093882494694e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),2.0076828010676806,217.0,1.0977046941247347e-05,2.1954093882494694e-05
Microglia (IBA1),Oligodendrocytes (OLIG2),-1.4141958649911173,40.0,0.0023849404152056133,0.00357741062280842
Microglia (IBA1),Astrocytes (GFAP),-0.8009279607205405,135.0,0.11250698940843283,0.13500838729011938
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.6132679042705766,90.0,0.6981485630357911,0.6981485630357911
