Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),2.3205962585831297,376.5,1.1610680062890755e-05,6.966408037734454e-05
Neurons (NEUN),Astrocytes (GFAP),1.5730594452284463,297.5,0.0005891846539261853,0.001767553961778556
Microglia (IBA1),Oligodendrocytes (OLIG2),-1.738100761333107,38.5,0.001820610852358529,0.003641221704717058
Neurons (NEUN),Oligodendrocytes (OLIG2),0.5824954972500227,160.5,0.0389491814339477,0.058423772150921545
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.9905639479784236,59.5,0.07650424287505457,0.09180509145006548
Microglia (IBA1),Astrocytes (GFAP),-0.7475368133546834,137.5,0.13031397305076134,0.13031397305076134
