Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Oligodendrocytes (OLIG2),59.0,0.037073827552019024,0.11122148265605708
Astrocytes (GFAP),Oligodendrocytes (OLIG2),49.0,0.02588854110302942,0.11122148265605708
Microglia (IBA1),Astrocytes (GFAP),256.0,0.06073504380803264,0.12147008761606529
Neurons (NEUN),Microglia (IBA1),149.5,0.11758531131337954,0.17637796697006933
Neurons (NEUN),Astrocytes (GFAP),203.0,0.5101844113711409,0.5101844113711409
Microglia (IBA1),Oligodendrocytes (OLIG2),97.0,0.4751235238172632,0.5101844113711409
