Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),-1.854455252346281,16.0,4.491016852299266e-07,2.6946101113795596e-06
Neurons (NEUN),Astrocytes (GFAP),-1.4296186594814304,28.0,9.460828049987796e-06,2.838248414996339e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),-1.7509837109614854,10.0,3.99150122916534e-05,7.98300245833068e-05
Microglia (IBA1),Astrocytes (GFAP),0.42483659286485054,226.0,0.3038223638444879,0.45573354576673186
Microglia (IBA1),Oligodendrocytes (OLIG2),0.10347154138479553,129.0,0.606002665842289,0.606002665842289
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.321365051480055,87.0,0.6052353493569689,0.606002665842289
