Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Microglia (IBA1),Astrocytes (GFAP),1.534108889538543,376.0,1.487966961930966e-07,8.927801771585796e-07
Neurons (NEUN),Microglia (IBA1),-1.1269133560204683,19.0,6.742895965998711e-07,2.0228687897996134e-06
Microglia (IBA1),Oligodendrocytes (OLIG2),1.453051033500441,231.0,5.049087762292758e-06,1.0098175524585516e-05
Neurons (NEUN),Astrocytes (GFAP),0.4071955335180748,264.0,0.014640782235473092,0.02196117335320964
Neurons (NEUN),Oligodendrocytes (OLIG2),0.3261376774799727,161.0,0.037073827552019024,0.04448859306242283
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.08105785603810212,93.0,0.8047483251697314,0.8047483251697314
