Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),2.3131679289281712,378.0,4.159006324335055e-06,2.495403794601033e-05
Microglia (IBA1),Oligodendrocytes (OLIG2),-2.2786169431811056,14.0,1.3903814546055089e-05,4.171144363816527e-05
Microglia (IBA1),Astrocytes (GFAP),-1.4800077163406375,94.5,0.002498395552238587,0.004996791104477174
Neurons (NEUN),Astrocytes (GFAP),0.8331602125875335,223.0,0.21100498520009248,0.3165074778001387
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.7986092268404679,80.0,0.40236083791064237,0.4828330054927708
Neurons (NEUN),Oligodendrocytes (OLIG2),0.03455098574706561,117.0,0.7884014648844208,0.7884014648844208
