Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),2.6722631876293166,420.0,4.650395086620351e-08,2.7902370519722105e-07
Microglia (IBA1),Astrocytes (GFAP),-2.3247536139269647,0.0,1.0939335392500127e-07,3.2818006177500383e-07
Microglia (IBA1),Oligodendrocytes (OLIG2),-1.9978074756713156,0.0,5.039036735723784e-06,1.0078073471447568e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),0.674455711958001,181.0,0.0036031274717346043,0.005404691207601907
Neurons (NEUN),Astrocytes (GFAP),0.3475095737023519,246.0,0.055503981172345694,0.06660477740681484
Astrocytes (GFAP),Oligodendrocytes (OLIG2),0.3269461382556491,122.0,0.3118133664100885,0.3118133664100885
