Test group,Reference group,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),351.0,3.0917228873631326e-05,0.00018550337324178796
Microglia (IBA1),Oligodendrocytes (OLIG2),57.5,0.002703291788115966,0.0081098753643479
Neurons (NEUN),Astrocytes (GFAP),258.0,0.015443376782260387,0.030886753564520773
Neurons (NEUN),Oligodendrocytes (OLIG2),164.0,0.02385314170515687,0.03577971255773531
Microglia (IBA1),Astrocytes (GFAP),149.5,0.10060795213346596,0.12072954256015915
Astrocytes (GFAP),Oligodendrocytes (OLIG2),79.5,0.3277116058037408,0.3277116058037408
