,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-625-3p,-1.9388376296365,6.94020652021855,-3.84927106623538,0.0003030897655846,0.001229929483532,-0.187862013538641,-3.61264479092739,2.910119787577545,P.adj < 0.05 & log2FC < -1
hsa-miR-6724-5p,-2.68526331141315,7.50621535088764,-3.81416578560421,0.0003252248223227,0.0013008992892911,-0.304212572205775,-3.59433207487676,2.8857563235753236,P.adj < 0.05 & log2FC < -1
hsa-miR-127-3p,1.53379802363997,7.99509491290774,3.75452420829305,0.0003863269216245,0.0015235427895053,-0.50050262986526,3.54925217320431,2.817145343879724,P.adj < 0.05 & log2FC > 1
hsa-miR-4454,-1.65252723309757,14.0363673024463,-3.68422499748827,0.0004762939240216,0.0018452602948175,-0.533722259169807,-3.4937460101837,2.7339423630391084,P.adj < 0.05 & log2FC < -1
hsa-miR-135a-5p,1.96555664250989,8.23138295038385,3.67716085206893,0.0004810857197202,0.0018452602948175,-0.705375881649668,3.49107248168364,2.7339423630391084,P.adj < 0.05 & log2FC > 1
hsa-miR-887-3p,-1.84865408126676,7.17520079670553,-3.69649180134314,0.0004996823651636,0.001890690030349,-0.643842300955345,-3.48092662018754,2.7233796658368132,P.adj < 0.05 & log2FC < -1
hsa-miR-369-3p,1.48130063562488,7.29615751968912,3.65647696567816,0.0005080996875461,0.0018969055001724,-0.686524765418469,3.47644961613233,2.7219543042067156,P.adj < 0.05 & log2FC > 1
hsa-miR-181c-5p,1.60740381857077,9.92019479570594,3.64971357888927,0.000524656996854,0.0019329468305147,-0.666267296877063,3.46784131776761,2.713780091926777,P.adj < 0.05 & log2FC > 1
hsa-miR-95-3p,1.68292868452731,7.7579514175395,3.61652064614579,0.0005967117665527,0.0021698609692825,-0.859827979229054,3.43310463513614,2.66356809205367,P.adj < 0.05 & log2FC > 1
hsa-miR-539-3p,1.57444353541608,7.06921825452668,3.59823769493349,0.0006130528237126,0.0022007024440967,-0.866063696073455,3.42577285886062,2.6574386742221265,P.adj < 0.05 & log2FC > 1
hsa-miR-495-3p,1.75035599645726,8.9507120503864,3.57295276889906,0.0006647753388592,0.0023192350040323,-0.913791669923463,3.40370900172335,2.634655242830987,P.adj < 0.05 & log2FC > 1
hsa-miR-590-3p,-1.91033543963739,7.05784240285192,-3.590302080994,0.0006659502881756,0.0023192350040323,-0.87229529335317,-3.40322658285009,2.634655242830987,P.adj < 0.05 & log2FC < -1
hsa-miR-505-3p,-1.74411064245423,7.14436997512778,-3.58912449569933,0.0006709215547379,0.0023192350040323,-0.863460586524999,-3.40119416404106,2.634655242830987,P.adj < 0.05 & log2FC < -1
hsa-miR-8485,-2.16782345210392,14.7219882314411,-3.54081217013879,0.0007691772088305,0.0026264587618603,-1.0953863328128,-3.36365467522548,2.5806294136833032,P.adj < 0.05 & log2FC < -1
hsa-miR-27a-3p,-1.60941867501665,8.66109601760133,-3.51934352338266,0.0007884867514411,0.0026599553060663,-0.963931184025338,-3.35680509204459,2.5751256605463206,P.adj < 0.05 & log2FC < -1
hsa-miR-151a-5p,-1.33162622440738,10.9552016477795,-3.55438883332184,0.0008030326827705,0.002676775609235,-1.03763960898394,-3.35174734596719,2.572388033652642,P.adj < 0.05 & log2FC < -1
hsa-miR-504-5p,1.64436627643782,7.58567208566561,3.51432491894623,0.0008465829937218,0.0027791811691511,-1.17178880909064,3.3370973185667,2.5560831415284797,P.adj < 0.05 & log2FC > 1
hsa-miR-409-3p,1.58200645001644,7.55974504812875,3.50248075718701,0.0008536056448107,0.0027791811691511,-1.16100497988994,3.33480066640056,2.5560831415284797,P.adj < 0.05 & log2FC > 1
hsa-miR-107,1.30843790615577,10.6912320852236,3.46156680324975,0.0009649256048088,0.0031055076936375,-1.21073292935518,3.30055859962214,2.5078673904885727,P.adj < 0.05 & log2FC > 1
hsa-miR-103a-3p,1.06969545634921,12.2849121495977,3.44409630306512,0.0010386148041402,0.0033046834677189,-1.29056930218195,3.27985220466431,2.48087013218632,P.adj < 0.05 & log2FC > 1
