,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-195-5p,-2.07400478799065,8.73744901345251,-4.16052388363766,0.0001041523251793,0.0009113328453195,0.908667402451276,-3.8807091723051,3.0403229770501543,P.adj < 0.05 & log2FC < -1
hsa-miR-338-5p,-2.27753144906964,7.94795916385269,-4.1592904821983,0.0001108524318266,0.0009405660882258,0.573641361968307,-3.86552073158021,3.026610683640018,P.adj < 0.05 & log2FC < -1
hsa-miR-23b-3p,-1.27444413678752,12.2303430019272,-4.1393498960376,0.0001241435503524,0.0010223586499616,0.611543765679387,-3.8377959925102,2.9903967241863234,P.adj < 0.05 & log2FC < -1
hsa-miR-383-5p,-1.85275394319862,7.57013513642583,-3.99454194336808,0.0001654793760167,0.0013238350081336,0.424270279765044,-3.76660972252133,2.878166138402511,P.adj < 0.05 & log2FC < -1
hsa-miR-532-3p,1.78702956656056,7.0719458699311,3.96264960689103,0.000197899392998,0.0015392175010955,0.216832996337705,3.72168296655513,2.812700007295612,P.adj < 0.05 & log2FC > 1
hsa-miR-625-5p,-1.66925124350314,6.95180573982273,-3.9193119459694,0.0002508362900016,0.001898220572985,-0.125068627082244,-3.66140457394164,2.7216533240138774,P.adj < 0.05 & log2FC < -1
hsa-miR-193a-5p,2.20749529964727,7.74015173890477,3.87377254496388,0.0002608395246582,0.0019219754448504,-0.0778350634210421,3.65137551452708,2.7162521651763685,P.adj < 0.05 & log2FC > 1
hsa-miR-362-3p,2.12287101729376,7.55617390611155,3.7790778369796,0.0003554719009327,0.0025082473371937,-0.392180522050169,3.57110974503883,2.6006296401371594,P.adj < 0.05 & log2FC > 1
hsa-miR-181b-5p,-1.45867077900436,10.5432973374674,-3.79556505467496,0.0003613995247466,0.0025082473371937,-0.380522725051296,-3.56677645213986,2.6006296401371594,P.adj < 0.05 & log2FC < -1
hsa-miR-222-3p,1.77658621993711,10.9546805622908,3.77797755486789,0.0003672790743747,0.0025082473371937,-0.266816759883732,3.56254346548204,2.6006296401371594,P.adj < 0.05 & log2FC > 1
hsa-miR-125a-5p,-1.14591653465269,12.7703364309834,-3.7241297768356,0.0004371405351401,0.0029142702342675,-0.436776334268096,-3.51658265148589,2.5354701794673002,P.adj < 0.05 & log2FC < -1
hsa-miR-577,-2.15093730026233,7.20561962574509,-3.69876698670293,0.0005015298179321,0.0032657755586278,-0.75374546200694,-3.47993800688863,2.4860136655879708,P.adj < 0.05 & log2FC < -1
hsa-miR-27b-3p,-1.57886359218977,9.31074273038209,-3.66290622365048,0.0005342224891509,0.0033995976582333,-0.679558355081997,-3.46298282756051,2.4685724785896936,P.adj < 0.05 & log2FC < -1
hsa-miR-31-3p,1.80144758616414,7.19901211902946,3.59420722926892,0.0006210327241881,0.0038642036171704,-0.844785216706322,3.422258356515,2.4129399972970047,P.adj < 0.05 & log2FC > 1
hsa-miR-204-5p,-1.91214840939734,7.78872940381334,-3.53639230516912,0.000823174800277,0.0050106292190779,-1.13930356216435,-3.34488235168135,2.300107733371326,P.adj < 0.05 & log2FC < -1
hsa-miR-376c-3p,-1.52022192083618,8.41234104946476,-3.51061154010354,0.0008769831397087,0.0052245804067753,-1.11481595271449,-3.32727965697209,2.281948582602437,P.adj < 0.05 & log2FC < -1
hsa-miR-330-3p,-1.49348212200899,10.4989418715614,-3.47395184540621,0.0009100270094791,0.005308490888628,-1.1393380533417,-3.31695982589226,2.2750289237192516,P.adj < 0.05 & log2FC < -1
hsa-miR-93-5p,1.21680253323287,10.193667276019,3.44741730309965,0.0009890887209353,0.0055566659061868,-1.23735947391491,3.29361215774174,2.2551857143287717,P.adj < 0.05 & log2FC > 1
hsa-miR-887-3p,-1.76125336888115,7.17520079670553,-3.47030557879637,0.0009922617689619,0.0055566659061868,-1.287549840789,-3.29271166567306,2.2551857143287717,P.adj < 0.05 & log2FC < -1
hsa-miR-28-3p,1.57556186761766,8.74362949823891,3.41034448000863,0.0011104988758856,0.0059795257071408,-1.35982462579502,3.2609237778725,2.2233332626571682,P.adj < 0.05 & log2FC > 1
hsa-miR-320a-3p,1.38838230107706,10.1614607209817,3.41660831745626,0.0011299203486394,0.0059795257071408,-1.38044897376354,3.25600431357922,2.2233332626571682,P.adj < 0.05 & log2FC > 1
hsa-let-7b-5p,-0.996484836760454,14.4792423494558,-3.41907683950481,0.0011318387945659,0.0059795257071408,-1.35291256511194,-3.25552262173438,2.2233332626571682,P.adj < 0.05
hsa-miR-186-5p,1.13120548794413,9.53486898866463,3.29435697053956,0.0015877655924672,0.0081823015674215,-1.68585615105799,3.15814500427375,2.0871245181579154,P.adj < 0.05 & log2FC > 1
hsa-miR-299-5p,-1.36904571822439,7.82060639366093,-3.32247788609461,0.0016141425816241,0.0081823015674215,-1.6092032620927,-3.15333896554089,2.0871245181579154,P.adj < 0.05 & log2FC < -1
hsa-miR-488-3p,-1.6163894708372,7.50069540048036,-3.29491090004148,0.0016364603134843,0.0081823015674215,-1.7333022002335,-3.14932867367355,2.0871245181579154,P.adj < 0.05 & log2FC < -1
hsa-miR-129-2-3p,-1.84601792328406,8.89742028812306,-3.25774088220566,0.0017747885149492,0.0085690326700378,-1.71067186533393,-3.12554013211627,2.067068201387895,P.adj < 0.05 & log2FC < -1
hsa-miR-31-5p,1.82373050394596,8.16470279035694,3.2682072939003,0.0017750139102221,0.0085690326700378,-1.79297408618955,3.12550278207966,2.067068201387895,P.adj < 0.05 & log2FC > 1
hsa-miR-377-3p,-1.5941346653153,8.70429996197913,-3.26692541904761,0.0018224422196982,0.0086488783307711,-1.75226617683111,-3.11773882890437,2.063040212343673,P.adj < 0.05 & log2FC < -1
hsa-miR-151a-5p,-1.26052058137769,10.9552016477795,-3.24905992453751,0.0020295782171801,0.0094713650135073,-1.82565041774851,-3.08586958142066,2.0235874259477904,P.adj < 0.05 & log2FC < -1
hsa-miR-769-5p,-1.52669621832059,8.62028840134935,-3.20022106587047,0.0021108955916422,0.0096893568140957,-1.92806668639154,-3.07416936490808,2.013705050746964,P.adj < 0.05 & log2FC < -1
hsa-miR-30e-3p,1.25875593538941,9.17529705548358,3.16094839779673,0.0024240984827379,0.0109475415349454,-2.07778255019447,3.03265838617383,1.9606833984205252,P.adj < 0.05 & log2FC > 1
hsa-miR-504-5p,-1.57400952724597,7.58567208566561,-3.13323960358246,0.0027449957936191,0.0121999813049738,-2.15566259082012,-2.99493916935262,1.913640834829591,P.adj < 0.05 & log2FC < -1
hsa-miR-425-5p,1.56509313456069,9.44465665179902,3.09418102350369,0.0029476009377482,0.0128957541026484,-2.23213449451257,2.9731502803455,1.889553256624675,P.adj < 0.05 & log2FC > 1
hsa-let-7d-5p,0.839118640555029,12.810959323415,3.07754462529907,0.003036746861584,0.0130813710960545,-2.25739720728503,2.96399351528063,1.8833467339747767,P.adj < 0.05
hsa-miR-197-3p,1.51560689160317,8.98611317745661,3.04160884029263,0.0034115676831283,0.0144733174435749,-2.40047177620658,2.92799387268555,1.8394319123980043,P.adj < 0.05 & log2FC > 1
hsa-miR-130a-3p,-1.22219983362444,10.2970210986213,-3.06849821429926,0.0035136220474919,0.0146534850105514,-2.25474244675187,-2.91881719520764,1.8340590755925557,P.adj < 0.05 & log2FC < -1
hsa-miR-28-5p,1.08157666519424,10.3429283893232,3.02310890275988,0.0035587035025625,0.0146534850105514,-2.43762501063308,2.91484051490032,1.8340590755925557,P.adj < 0.05 & log2FC > 1
hsa-miR-663a,-2.07012499277607,8.47629356993939,-3.0330703640746,0.0036329371448984,0.0147423536314721,-2.46209722577052,-2.90839107154223,1.8314331753941138,P.adj < 0.05 & log2FC < -1
hsa-miR-124-3p,-1.48053594231598,14.816017262368,-3.13342906538693,0.0037667500900622,0.0150670003602491,-2.14242851762829,-2.89706224740096,1.821973201345669,P.adj < 0.05 & log2FC < -1
hsa-miR-99b-5p,-0.988916442514522,11.274641369571,-3.0034496381371,0.003852782838749,0.0151940731668976,-2.4615469749714,-2.88997025165025,1.8183257865862437,P.adj < 0.05
hsa-miR-153-3p,-1.47845079671224,8.5813389825558,-2.93615154798854,0.004568382926767,0.0177659336040941,-2.60931060310646,-2.83599032949571,1.7504119652952457,P.adj < 0.05 & log2FC < -1
