,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-9-3p,2.03699514164037,11.5837629121608,5.59727043714466,4.52456347641114e-07,1.15170706672283e-06,5.80154218089653,5.04544951817632,5.938657968381032,P.adj < 0.05 & log2FC > 1
hsa-miR-30e-3p,-1.58218958056449,9.17529705548358,-5.88658554762998,4.5965832482975e-07,1.15949847704802e-06,6.62770121945886,-5.0424294186567,5.935729817452967,P.adj < 0.05 & log2FC < -1
hsa-miR-15a-5p,-2.0874163505262,8.39286808098611,-5.9734314028579,4.65571434340154e-07,1.16392858585038e-06,6.33599662766367,-5.03998372594759,5.934073665495893,P.adj < 0.05 & log2FC < -1
hsa-miR-4286,-1.38198700265679,10.6131888811036,-5.68532358448063,6.68484850241236e-07,1.65642263776589e-06,5.68188160680827,-4.97030261360576,5.780828842773845,P.adj < 0.05 & log2FC < -1
hsa-miR-145-5p,-2.57284845576124,7.45023387147797,-5.45317279464965,7.92885425140506e-07,1.94743788631001e-06,5.18051353195932,-4.93711052000573,5.710536385292371,P.adj < 0.05 & log2FC < -1
hsa-miR-320b,-1.84383549994704,9.18241487431701,-5.56399380453075,1.33839275544131e-06,3.25869540455276e-06,5.15361005923993,-4.83396626673634,5.486956231834383,P.adj < 0.05 & log2FC < -1
hsa-miR-148a-3p,-2.52261675902029,6.85159835700502,-5.46343387026006,1.78507205905886e-06,4.30879462531448e-06,4.8075461335805,-4.77634818281913,5.365644205660591,P.adj < 0.05 & log2FC < -1
hsa-miR-185-5p,-1.47539617774612,10.620013526942,-5.91265613186215,1.90154434367994e-06,4.55070441222549e-06,6.65574797195448,-4.76361576623062,5.341921372867252,P.adj < 0.05 & log2FC < -1
hsa-miR-30e-5p,-1.50903032163616,9.4559633450602,-5.43327646383413,2.5029474307693e-06,5.93919729335089e-06,4.45855598725376,-4.70788947367878,5.2262722477166745,P.adj < 0.05 & log2FC < -1
hsa-miR-18a-5p,-2.22046194970806,7.48856776834868,-5.14689604318962,2.57021848002709e-06,6.00895271750456e-06,4.03732438566302,-4.70247885208702,5.221201213295407,P.adj < 0.05 & log2FC < -1
hsa-miR-505-5p,-1.81754296881694,6.97531714696457,-5.58300360810325,2.5752654503591e-06,6.00895271750456e-06,4.64425040629588,-4.70207842317424,5.221201213295407,P.adj < 0.05 & log2FC < -1
